keys,ko,en
SKILL_UD_LICH_DESC,캐스팅 후 냉기 피해를 입히고 짧은 빙결을 건다,"After casting, deals cold damage and briefly inflicts Freeze"
SKILL_UD_NECROMANCER,망자의 손길,Touch of the Dead
SKILL_UD_NECROMANCER_DESC,아군 부대에 붙은 디버프를 정화한다,Cleanses debuffs from an allied squad
SKILL_UD_REAPER,영혼 수확,Soul Harvest
SKILL_UD_REAPER_DESC,강력한 일격을 가한다 — 한 방이 굵어 방어력을 뚫는다,A single heavy blow that punches through armor
SKILL_UD_SKELARCHER,이중 사격,Double Shot
SKILL_UD_SKELARCHER_DESC,크리티컬이 터지면 화살이 한 발 더 나간다,On critical hit fires an extra arrow
SKILL_UD_BUTCHER,도축,Slaughter
SKILL_UD_BUTCHER_DESC,보스를 잡을 때마다 공격력이 고정값씩 영구 누적된다,Permanently gains flat attack power for every boss kill
SKILL_BM_CAT,소매치기,Pickpocket
SKILL_BM_CAT_DESC,발동하면 보스에게서 골드를 훔친다,Steals gold from the boss
SKILL_BM_RABBIT,원소 룰렛,Element Roulette
SKILL_BM_RABBIT_DESC,캐스팅 후 화염·냉기·독·번개 중 랜덤 원소로 피해를 입힌다,"After casting, deals damage of a random element — fire, cold, poison, or lightning"
SKILL_BM_DEER,자연의 축복,Nature's Blessing
SKILL_BM_DEER_DESC,아군 랜덤 부대에 랜덤 버프를 부여한다,Grants a random buff to a random allied squad
SKILL_BM_LION,사자후,Lion's Roar
SKILL_DM_HIGH,업화의 일격,Infernal Blow
SKILL_DM_HIGH_DESC,발동하면 다음 타격에 큰 고정 추가피해가 실린다,The next strike carries heavy flat bonus damage
SKILL_DM_FIREIMP,한탕 사격,Jackpot Shot
SKILL_DM_FIREIMP_DESC,크리티컬이 터지면 큰 고정 추가피해가 실린다,On critical hit adds heavy flat bonus damage
SKILL_DM_FIREKEEPER,지옥불,Hellfire
SKILL_DM_FIREKEEPER_DESC,캐스팅 후 화염 원소 피해를 입힌다,"After casting, deals fire elemental damage"
SKILL_DM_DEMONESS,피의 계약,Blood Pact
SKILL_DM_DEMONESS_DESC,아군 부대 하나에 강한 버프를 주는 대신 그 부대의 사기를 깎는다,Grants a squad a powerful buff at the cost of its morale
SKILL_DM_LORD,포식,Devour
SKILL_DM_LORD_DESC,아군을 잡아먹고 자신의 능력치가 영구 상승한다,Devours an ally to permanently grow stronger
SKILL_HUM_MAGE_DESC,@cast_time@초 캐스팅 후 번개로 @damage@ 피해,After @cast_time@s of casting, strike for @damage@ lightning damage
