set_label,set_number,set_stage,set_mutator,patch,trait_api_name,trait_name,breakpoints,desc_resolved,desc_raw,effects_json
Set 1,1,base,1,9.21,,Hextech,2|4,"At the start of combat, an ally Hextech launches and detonates a pulse bomb, temporarily disabling nearby enemy items for @DisableDuration@ seconds.(@MinUnits@) @HexSize@ Hex Radius(@MinUnits@) @HexSize@ Hex Radius","At the start of combat, an ally Hextech launches and detonates a pulse bomb, temporarily disabling nearby enemy items for @DisableDuration@ seconds.<br><br><row>(@MinUnits@) @HexSize@ Hex Radius</row><br><row>(@MinUnits@) @HexSize@ Hex Radius</row>","[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""{2bd7dcb7}"": 5.0, ""{a004f927}"": 1.25, ""{fb0b4533}"": 1.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""variables"": {""{2bd7dcb7}"": 5.0, ""{a004f927}"": 1.25, ""{fb0b4533}"": 2.0}}]"
Set 1,1,base,1,9.21,,Imperial,2|4,"At the start of combat, select Imperials are empowered to deal double damage.(@MinUnits@) 1 Random Imperial(@MinUnits@) All Imperials","At the start of combat, select Imperials are empowered to deal double damage.<br><br><row>(@MinUnits@) 1 Random Imperial</row><br><row>(@MinUnits@) All Imperials</row>","[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""DamageMultiplier"": 2.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""variables"": {""DamageMultiplier"": 2.0}}]"
Set 1,1,base,1,9.21,,Knight,2|4|6,"All allies block a flat amount of damage from all sources.
(2) 15 Damage Blocked
(4) 30 Damage Blocked
(6) 60 Damage Blocked",All allies block a flat amount of damage from all sources.<br><br><expandRow>(@MinUnits@) @BlockAmount@ Damage Blocked</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""BlockAmount"": 15.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""variables"": {""BlockAmount"": 30.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""BlockAmount"": 60.0}}]"
Set 1,1,base,1,9.21,,Ninja,1|4,Ninjas gain bonus Attack Damage and Spell Power.This trait is only active when you have exactly 1 or 4 unique Ninjas.(@MinUnits@) Ninja gains +@ADValue@ Attack Damage & +@APValue@% Spell Power(@MinUnits@) All Ninjas gain +@ADValue@ Attack Damage & +@APValue@% Spell Power,Ninjas gain bonus Attack Damage and Spell Power.<br><br>This trait is only active when you have exactly 1 or 4 unique Ninjas.<br><br><row>(@MinUnits@) Ninja gains +@ADValue@ Attack Damage & +@APValue@% Spell Power</row><br><row>(@MinUnits@) All Ninjas gain +@ADValue@ Attack Damage & +@APValue@% Spell Power</row>,"[{""maxUnits"": 1, ""minUnits"": 1, ""variables"": {""{5eb5fde9}"": 50.0, ""{fa127f0d}"": 50.0}}, {""maxUnits"": 4, ""minUnits"": 4, ""variables"": {""{5eb5fde9}"": 80.0, ""{fa127f0d}"": 80.0}}]"
Set 1,1,base,1,9.21,,Noble,3|6,"At the start of combat, select allies gain +@Armor@ Armor, +@MagicResist@ Magic Resistance, and heal @Heal@ Health on-hit.(@MinUnits@) 1 Random Ally(@MinUnits@) All Allies","At the start of combat, select allies gain +@Armor@ Armor, +@MagicResist@ Magic Resistance, and heal @Heal@ Health on-hit.<br><br><row>(@MinUnits@) 1 Random Ally</row><br><row>(@MinUnits@) All Allies</row>","[{""maxUnits"": 5, ""minUnits"": 3, ""variables"": {""Armor"": 50.0, ""Heal"": 30.0, ""MagicResist"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""Armor"": 50.0, ""Heal"": 30.0, ""MagicResist"": 50.0}}]"
Set 1,1,base,1,9.21,,Phantom,2,"(@MinUnits@) At the start of combat, a random enemy's Health is set to @HPToSet@","<row>(@MinUnits@) At the start of combat, a random enemy's Health is set to @HPToSet@</row>","[{""maxUnits"": 25000, ""minUnits"": 2, ""variables"": {""{d05832ac}"": 100.0}}]"
Set 1,1,base,1,9.21,,Pirate,3,"(@MinUnits@) At the end of each combat against another player, a treasure chest spawns on your arena containing up to 4 gold","<row>(@MinUnits@) At the end of each combat against another player, a treasure chest spawns on your arena containing up to 4 gold</row>","[{""maxUnits"": 25000, ""minUnits"": 3, ""variables"": {}}]"
Set 1,1,base,1,9.21,,Ranger,2|4,"Every @ProcRate@ seconds, Rangers have a chance to double their Attack Speed for @ProcRate@ seconds. 
(2) @ProcPercent@% Chance to Double Attack Speed
(4) @ProcPercent@% Chance to Double Attack Speed","Every @ProcRate@ seconds, Rangers have a chance to double their Attack Speed for @ProcRate@ seconds. <br><br><expandRow>(@MinUnits@) @ProcPercent@% Chance to Double Attack Speed</expandRow><br>","[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""ASMultiplier"": 2.0, ""{1b812333}"": 3.0, ""{6003afce}"": 40.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""variables"": {""ASMultiplier"": 2.0, ""{1b812333}"": 3.0, ""{6003afce}"": 70.0}}]"
Set 1,1,base,1,9.21,,Robot,1,(@MinUnits@) Robots start combat at full Mana,(@MinUnits@) Robots start combat at full Mana,"[{""maxUnits"": 25000, ""minUnits"": 1, ""variables"": {}}]"
Set 1,1,base,1,9.21,,Shapeshifter,3|6,"Shapeshifters gain bonus Maximum Health when they transform.
(3) 60% Bonus Maximum Health
(6) 100% Bonus Maximum Health",Shapeshifters gain bonus Maximum Health when they transform.<br><br><expandRow>(@MinUnits@) @HPPercent@% Bonus Maximum Health</expandRow><br>,"[{""maxUnits"": 5, ""minUnits"": 3, ""variables"": {""HPPercent"": 60.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""variables"": {""HPPercent"": 100.0}}]"
Set 1,1,base,1,9.21,,Sorcerer,3|6|9,"Innate: Sorcerers gain double Mana from Basic Attacks.All allies have increased Spell Power.
(3) +40% Spell Power
(6) +120% Spell Power
(9) +200% Spell Power",Innate: Sorcerers gain double Mana from Basic Attacks.<br><br>All allies have increased Spell Power.<br><br><expandRow>(@MinUnits@) +@AP@% Spell Power</expandRow><br>,"[{""maxUnits"": 5, ""minUnits"": 3, ""variables"": {""AP"": 40.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""variables"": {""AP"": 120.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""variables"": {""AP"": 200.0}}]"
Set 1,1,base,1,9.21,,Void,2|4,Basic Attacks and Spells from select Void champions deal true damage.(@MinUnits@) 1 Random Void champion(@MinUnits@) All Void champions,Basic Attacks and Spells from select Void champions deal true damage.<br><br><row>(@MinUnits@) 1 Random Void champion</row><br><row>(@MinUnits@) All Void champions</row>,"[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""{2deb7544}"": 100.0, ""{cb42693f}"": 1.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""variables"": {""{2deb7544}"": 100.0, ""{cb42693f}"": 1.0}}]"
Set 1,1,base,1,9.21,,Wild,2|4,"Select allies' Basic Attacks are empowered to grant +@AttackSpeedPercent@% Bonus Attack Speed (stacks up to 5 times).(@MinUnits@) Wild Allies Only(@MinUnits@) All Allies, and allies' basic attacks cannot be dodged.","Select allies' Basic Attacks are empowered to grant +@AttackSpeedPercent@% Bonus Attack Speed (stacks up to 5 times).<br><br><row>(@MinUnits@) Wild Allies Only</row><br><row>(@MinUnits@) All Allies, and allies' basic attacks cannot be dodged.</row>","[{""maxUnits"": 3, ""minUnits"": 2, ""variables"": {""{a8ca7859}"": 10.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""variables"": {""{a8ca7859}"": 10.0}}]"
Set 1,1,base,1,9.21,,Yordle,3|6|9,"Yordles gain a chance to dodge enemy Basic Attacks.
(3) 30% Chance to Dodge
(6) 60% Chance to Dodge
(9) 90% Chance to Dodge",Yordles gain a chance to dodge enemy Basic Attacks.<br><br><expandRow>(@MinUnits@) @MissPercent@% Chance to Dodge</expandRow><br>,"[{""maxUnits"": 5, ""minUnits"": 3, ""variables"": {""MissPercent"": 30.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""variables"": {""MissPercent"": 60.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""variables"": {""MissPercent"": 90.0}}]"
Set 2,2,base,2,10.5,Alchemist,Alchemist,1,Innate: Alchemists ignore collision and never stop moving.,Innate: Alchemists ignore collision and never stop moving.,"[{""maxUnits"": 25000, ""minUnits"": 1, ""style"": 3, ""variables"": {""null"": ""null""}}]"
Set 2,2,base,2,10.5,Set2_Assassin,Assassin,3|6,"Innate: At the start of combat, Assassins leap to the farthest enemy.Assassins gain bonus Critical Strike Damage and Chance.
(3) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance
(6) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance","Innate: At the start of combat, Assassins leap to the farthest enemy.<br><br>Assassins gain bonus Critical Strike Damage and Chance.<br><br><expandRow>(@MinUnits@) +@CritAmpPercent@% Critical Strike Damage & +@CritChanceAmpPercent@% Critical Strike Chance</expandRow><br>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""{268f634e}"": 70.0, ""{9f2eb1e2}"": 10.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 3, ""variables"": {""{268f634e}"": 210.0, ""{9f2eb1e2}"": 20.0}}]"
Set 2,2,base,2,10.5,Avatar,Avatar,1,Innate: Having an Avatar on your bench or board transforms all other Avatars in your shop to the Element of that Avatar.(1) An Avatar's Origin Element is counted twice for Trait bonuses,Innate: Having an Avatar on your bench or board transforms all other Avatars in your shop to the Element of that Avatar.<br><br>(1) An Avatar's Origin Element is counted twice for Trait bonuses,"[{""maxUnits"": 25000, ""minUnits"": 1, ""style"": 4, ""variables"": {""null"": ""null""}}]"
Set 2,2,base,2,10.5,Berserker,Berserker,3|6,"Innate: At the start of combat, Berserkers leap to the nearest enemy.When Berserkers attack, they have a @ProcChance@% chance to hit all units in a cone in front of them and apply on-hit effects.(@MinUnits@) @ProcChance@% chance(@MinUnits@) @ProcChance@% chance, and Berserkers gain +@ADBonus@ Attack Damage","Innate: At the start of combat, Berserkers leap to the nearest enemy.<br><br>When Berserkers attack, they have a @ProcChance@% chance to hit all units in a cone in front of them and apply on-hit effects.<br><br><row>(@MinUnits@) @ProcChance@% chance</row><br><row>(@MinUnits@) @ProcChance@% chance, and Berserkers gain +@ADBonus@ Attack Damage</row>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""{5119f0ff}"": ""null"", ""{898231b1}"": 2.0, ""{a37dac0c}"": 100.0, ""{b4a90a5d}"": 45.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 3, ""variables"": {""{5119f0ff}"": 25.0, ""{898231b1}"": 2.0, ""{a37dac0c}"": 100.0, ""{b4a90a5d}"": 100.0}}]"
Set 2,2,base,2,10.5,Set2_Blademaster,Blademaster,2|4|6,Blademasters' Basic Attacks have a @ProcChance@% chance to trigger additional attacks against their target.These additional attacks deal damage like Basic Attacks and trigger on-hit effects.(@MinUnits@) One Additional Attack(@MinUnits@) Two Additional Attacks(@MinUnits@) Three Additional Attacks,Blademasters' Basic Attacks have a @ProcChance@% chance to trigger additional attacks against their target.<br><br>These additional attacks deal damage like Basic Attacks and trigger on-hit effects.<br><br><row>(@MinUnits@) One Additional Attack</row><br><row>(@MinUnits@) Two Additional Attacks</row><br><row>(@MinUnits@) Three Additional Attacks</row>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""ExtraAttacks"": 1.0, ""{b4a90a5d}"": 40.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""ExtraAttacks"": 2.0, ""{b4a90a5d}"": 40.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 4, ""variables"": {""ExtraAttacks"": 3.0, ""{b4a90a5d}"": 35.0}}]"
Set 2,2,base,2,10.5,Wind,Cloud,2|3|4,"All allies gain a chance to dodge enemy Basic Attacks.
(2) @ProcPercent@% dodge chance
(3) @ProcPercent@% dodge chance
(4) @ProcPercent@% dodge chance",All allies gain a chance to dodge enemy Basic Attacks.<br><br><expandRow>(@MinUnits@) @ProcPercent@% dodge chance</expandRow>,"[{""maxUnits"": 2, ""minUnits"": 2, ""style"": 2, ""variables"": {""{6003afce}"": 20.0}}, {""maxUnits"": 3, ""minUnits"": 3, ""style"": 3, ""variables"": {""{6003afce}"": 25.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""style"": 4, ""variables"": {""{6003afce}"": 35.0}}]"
Set 2,2,base,2,10.5,Crystal,Crystal,2|4,"Crystal Champions have a maximum amount of damage they can take from a single hit.
(2) @DamageThreshold@ Max Damage
(4) @DamageThreshold@ Max Damage",Crystal Champions have a maximum amount of damage they can take from a single hit.<br><br><expandRow>(@MinUnits@) @DamageThreshold@ Max Damage</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 3, ""variables"": {""{c1154e11}"": 100.0, ""{cca74473}"": 110.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""style"": 4, ""variables"": {""{c1154e11}"": 100.0, ""{cca74473}"": 60.0}}]"
Set 2,2,base,2,10.5,Desert,Desert,2|4,"Reduces each enemy's Armor.
(2) @ArmorPercentReduction@% Armor reduction
(4) @ArmorPercentReduction@% Armor reduction",Reduces each enemy's Armor.<br><br><expandRow>(@MinUnits@) @ArmorPercentReduction@% Armor reduction</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""{e7acd68a}"": 40.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""style"": 3, ""variables"": {""{e7acd68a}"": 100.0}}]"
Set 2,2,base,2,10.5,Druid,Druid,2,(@MinUnits@) Druids regenerate @HealAmount@ health each second.,<row>(@MinUnits@) Druids regenerate @HealAmount@ health each second.</row>,"[{""maxUnits"": 25000, ""minUnits"": 2, ""style"": 3, ""variables"": {""HealAmount"": 45.0, ""{471b1a16}"": 1.0}}]"
Set 2,2,base,2,10.5,Electric,Electric,2|3|4,"Electric Champions shock nearby enemies whenever they deal or receive a critical strike.
(2) 80 magic damage
(3) 250 magic damage
(4) 550 magic damage",Electric Champions shock nearby enemies whenever they deal or receive a critical strike.<br><br><expandRow>(@MinUnits@) @Damage@ magic damage</expandRow>,"[{""maxUnits"": 2, ""minUnits"": 2, ""style"": 1, ""variables"": {""Damage"": 80.0}}, {""maxUnits"": 3, ""minUnits"": 3, ""style"": 3, ""variables"": {""Damage"": 250.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""style"": 4, ""variables"": {""Damage"": 550.0}}]"
Set 2,2,base,2,10.5,Set2_Glacial,Glacial,2|4|6,"Basic Attacks from Glacials have a @ProcPercent@% chance to stun their target for @StunDuration@ seconds and do bonus Magic Damage.
(2) 75 Magic Damage
(4) 175 Magic Damage
(6) 475 Magic Damage",Basic Attacks from Glacials have a @ProcPercent@% chance to stun their target for @StunDuration@ seconds and do bonus Magic Damage.<br><br><expandRow>(@MinUnits@) @BonusDamage@ Magic Damage</expandRow><br>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""BonusDamage"": 75.0, ""StunDuration"": 1.5, ""{6003afce}"": 25.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""BonusDamage"": 175.0, ""StunDuration"": 1.5, ""{6003afce}"": 25.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 4, ""variables"": {""BonusDamage"": 475.0, ""StunDuration"": 1.5, ""{6003afce}"": 25.0}}]"
Set 2,2,base,2,10.5,Inferno,Inferno,3|6|9,"Inferno critical hits and spell damage burns the ground beneath the target, dealing a percentage of that spell's pre-mitigation damage over @ZoneDuration@ seconds.
(3) +@PercentBonusDamage@% damage on @NumZones@ hexes
(6) +@PercentBonusDamage@% damage on @NumZones@ hexes
(9) +@PercentBonusDamage@% damage on @NumZones@ hexes","Inferno critical hits and spell damage burns the ground beneath the target, dealing a percentage of that spell's pre-mitigation damage over @ZoneDuration@ seconds.<br><br><expandRow>(@MinUnits@) +@PercentBonusDamage@% damage on @NumZones@ hexes</expandRow>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""{9faee275}"": 10.0, ""{cb6b5298}"": 70.0, ""{d04eb593}"": 4.0, ""{e97e931e}"": 1.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""style"": 3, ""variables"": {""{9faee275}"": 10.0, ""{cb6b5298}"": 150.0, ""{d04eb593}"": 4.0, ""{e97e931e}"": 3.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""style"": 4, ""variables"": {""{9faee275}"": 10.0, ""{cb6b5298}"": 250.0, ""{d04eb593}"": 4.0, ""{e97e931e}"": 5.0}}]"
Set 2,2,base,2,10.5,Light,Light,3|6|9,"When a Light Champion dies, all other Light Champions gain Attack Speed and recover @HealAmount@% of the dying champion's maximum health.
(3) +@AttackSpeedPercent@% Attack Speed
(6) +@AttackSpeedPercent@% Attack Speed
(9) +@AttackSpeedPercent@% Attack Speed","When a Light Champion dies, all other Light Champions gain Attack Speed and recover @HealAmount@% of the dying champion's maximum health.<br><br><expandRow>(@MinUnits@) +@AttackSpeedPercent@% Attack Speed</expandRow><br>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""HealAmount"": 20.0, ""{a8ca7859}"": 20.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""style"": 3, ""variables"": {""HealAmount"": 20.0, ""{a8ca7859}"": 30.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""style"": 4, ""variables"": {""HealAmount"": 20.0, ""{a8ca7859}"": 50.0}}]"
Set 2,2,base,2,10.5,Celestial,Lunar,2,"(@MinUnits@) Every @Frequency@ seconds, all allied champions in combat are infused with Moonlight, increasing Crit Chance by @CritChance@%, Crit Damage by @CritDamage@%, and Spell Power by @AP@% (stacks to 4 times).","(@MinUnits@) Every @Frequency@ seconds, all allied champions in combat are infused with Moonlight, increasing Crit Chance by @CritChance@%, Crit Damage by @CritDamage@%, and Spell Power by @AP@% (stacks to 4 times).","[{""maxUnits"": 25000, ""minUnits"": 2, ""style"": 3, ""variables"": {""AP"": 15.0, ""CritChance"": 15.0, ""CritDamage"": 15.0, ""{2fb31c01}"": 7.0}}]"
Set 2,2,base,2,10.5,Mage,Mage,3|6,"Mages have a chance, when casting, to Doublecast instead.(@MinUnits@) @ProcChance@% chance(@MinUnits@) @ProcChance@% chance and +@APBonus@ Spell Power","Mages have a chance, when casting, to Doublecast instead.<br><br><row>(@MinUnits@) @ProcChance@% chance</row><br><row>(@MinUnits@) @ProcChance@% chance and +@APBonus@ Spell Power</row>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""{666f247b}"": ""null"", ""{b4a90a5d}"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 3, ""variables"": {""{666f247b}"": 20.0, ""{b4a90a5d}"": 100.0}}]"
Set 2,2,base,2,10.5,Mountain,Mountain,2,"(@MinUnits@) At the start of combat, a random ally gains a @ShieldValue@ health Stoneshield.","<row>(@MinUnits@) At the start of combat, a random ally gains a @ShieldValue@ health Stoneshield.</row>","[{""maxUnits"": 25000, ""minUnits"": 2, ""style"": 3, ""variables"": {""ShieldValue"": 1500.0}}]"
Set 2,2,base,2,10.5,Mystic,Mystic,2|4,"All allies gain Magic Resistance.
(2) +40 Magic Resistance
(4) +120 Magic Resistance",All allies gain Magic Resistance.<br><br><expandRow>(@MinUnits@) +@MagicResist@ Magic Resistance</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""MagicResist"": 40.0}}, {""maxUnits"": 25000, ""minUnits"": 4, ""style"": 3, ""variables"": {""MagicResist"": 120.0}}]"
