set_label,set_number,set_stage,set_mutator,patch,champion_api_name,champion_name,cost,hp,damage,attack_speed,range,armor,magic_resist,mana,initial_mana,crit_chance,crit_multiplier
Set 3,3,base,Set3,10.11,TFT3_Fiora,Fiora,1,450,45,1,1,30,20,85,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Graves,Graves,1,650,55,0.55,1,35,20,80,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_JarvanIV,Jarvan IV,1,650,50,0.6,1,40,20,100,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_NPC_Kayn,Kayn,1,600,80,0.8,1,20,,100,75,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_NPC_KaynElite,Kayn,1,6800,200,1,1,,,200,175,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_KhaZix,Kha'Zix,1,500,50,0.7,1,25,20,65,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Leona,Leona,1,600,50,0.55,1,40,20,100,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Malphite,Malphite,1,700,70,0.5,1,30,20,0,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Poppy,Poppy,1,650,50,0.55,1,40,20,100,60,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_TwistedFate,Twisted Fate,1,550,45,0.7,3,20,20,75,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Xayah,Xayah,1,500,50,0.8,3,20,20,50,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Ziggs,Ziggs,1,500,40,0.7,3,20,20,40,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Zoe,Zoe,1,500,40,0.7,3,20,20,100,70,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Ahri,Ahri,2,600,45,0.75,3,20,20,60,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Annie,Annie,2,700,40,0.65,2,40,20,150,75,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Blitzcrank,Blitzcrank,2,650,55,0.5,1,35,20,125,125,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Darius,Darius,2,750,60,0.65,1,35,20,60,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_KaiSa,Kai'Sa,2,550,50,0.75,2,20,20,60,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Lucian,Lucian,2,500,50,0.7,4,25,20,35,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Mordekaiser,Mordekaiser,2,650,55,0.6,1,40,20,90,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Rakan,Rakan,2,600,45,0.7,2,35,20,100,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Shen,Shen,2,800,60,0.7,1,35,20,150,100,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Sona,Sona,2,550,40,0.65,3,20,20,40,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_XinZhao,Xin Zhao,2,650,60,0.7,1,35,20,60,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Yasuo,Yasuo,2,700,50,0.75,1,30,20,90,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Ashe,Ashe,3,600,60,0.8,6,20,20,125,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Ezreal,Ezreal,3,600,60,0.7,3,20,20,125,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Jayce,Jayce,3,750,60,0.7,1,40,20,80,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Karma,Karma,3,600,50,0.65,3,20,20,100,75,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Kassadin,Kassadin,3,800,50,0.65,1,30,20,80,40,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Lux,Lux,3,600,40,0.7,4,20,20,100,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_MasterYi,Master Yi,3,750,55,0.8,1,30,20,55,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Neeko,Neeko,3,800,50,0.65,2,35,20,150,75,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Rumble,Rumble,3,800,50,0.7,1,35,20,60,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Shaco,Shaco,3,650,70,0.8,1,25,20,80,30,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Syndra,Syndra,3,600,45,0.7,4,20,20,65,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Vi,Vi,3,750,60,0.65,1,35,20,140,70,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_ChoGath,Cho'Gath,4,1000,70,0.6,1,20,20,150,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Fizz,Fizz,4,600,60,0.8,1,25,20,150,80,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Irelia,Irelia,4,800,70,0.85,1,35,20,30,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Jhin,Jhin,4,600,90,0.9,6,20,20,4,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Jinx,Jinx,4,600,70,0.75,3,20,20,0,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Kayle,Kayle,4,700,60,0.8,3,25,20,60,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Soraka,Soraka,4,700,45,0.75,3,30,20,125,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_VelKoz,Vel'Koz,4,650,45,0.75,4,20,20,70,0,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_WuKong,Wukong,4,950,50,0.75,1,40,20,150,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_AurelionSol,Aurelion Sol,5,1100,,0.8,1,35,20,120,40,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Ekko,Ekko,5,850,60,0.9,1,30,20,150,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Gangplank,Gangplank,5,1000,60,1,1,30,20,175,100,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Lulu,Lulu,5,800,45,0.8,3,25,20,150,75,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_MissFortune,Miss Fortune,5,800,60,1,4,20,20,175,75,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Thresh,Thresh,5,950,50,0.95,2,35,20,75,50,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_Xerath,Xerath,5,750,60,0.9,6,20,20,80,30,0.25,1.5
Set 3,3,base,Set3,10.11,TFT3_SuperMech,Super-Mech,7,,0,0.75,1,30,20,225,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Caitlyn,Caitlyn,1,500,45,0.75,6,20,20,125,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Fiora,Fiora,1,500,45,1,1,30,20,85,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Graves,Graves,1,650,55,0.55,1,40,30,80,50,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Illaoi,Illaoi,1,700,45,0.7,1,40,30,80,40,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_JarvanIV,Jarvan IV,1,700,55,0.6,1,40,30,100,60,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_NPC_Kayn,Kayn,1,600,80,0.8,1,20,,100,75,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_NPC_KaynElite,Kayn,1,6800,200,1,1,,,200,175,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Leona,Leona,1,600,50,0.55,1,45,30,100,50,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Malphite,Malphite,1,700,70,0.5,1,35,30,0,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Nocturne,Nocturne,1,500,50,0.75,1,20,20,80,40,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Poppy,Poppy,1,650,50,0.55,1,45,35,90,50,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_TwistedFate,Twisted Fate,1,550,45,0.7,3,20,20,75,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Xayah,Xayah,1,500,50,0.9,3,20,20,60,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Ziggs,Ziggs,1,500,40,0.7,3,20,20,40,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Zoe,Zoe,1,500,40,0.7,3,20,20,80,40,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Ahri,Ahri,2,600,45,0.75,3,20,20,60,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Annie,Annie,2,750,40,0.65,2,50,35,150,70,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Blitzcrank,Blitzcrank,2,650,55,0.5,1,60,35,125,125,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Darius,Darius,2,800,60,0.65,1,40,30,50,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_KogMaw,Kog'Maw,2,550,50,0.7,3,25,20,30,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Lucian,Lucian,2,500,50,0.7,4,25,20,30,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Mordekaiser,Mordekaiser,2,700,55,0.6,1,50,40,90,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Nautilus,Nautilus,2,750,60,0.65,1,50,35,120,50,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Rakan,Rakan,2,650,45,0.7,2,45,35,100,50,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Shen,Shen,2,800,60,0.7,1,45,35,150,100,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_XinZhao,Xin Zhao,2,650,60,0.7,1,45,30,60,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Yasuo,Yasuo,2,700,50,0.75,1,30,20,80,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Zed,Zed,2,650,55,0.75,1,25,20,0,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Ashe,Ashe,3,650,60,0.85,6,20,20,100,40,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Bard,Bard,3,700,45,0.7,3,30,20,90,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Cassiopeia,Cassiopeia,3,750,40,0.75,2,30,20,25,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Ezreal,Ezreal,3,600,55,0.75,3,20,20,80,30,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Jayce,Jayce,3,800,60,0.7,1,40,30,80,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Karma,Karma,3,600,50,0.65,3,20,20,100,75,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_MasterYi,Master Yi,3,750,55,0.85,1,50,35,55,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_BardMeep,Meep,3,10,,1,0,10,10,100,0,10,1
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Neeko,Neeko,3,850,50,0.65,2,50,40,110,35,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Rumble,Rumble,3,900,50,0.7,1,45,40,50,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Shaco,Shaco,3,650,75,0.8,1,20,20,70,30,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Syndra,Syndra,3,600,45,0.7,4,20,20,50,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Vayne,Vayne,3,500,55,0.85,6,20,20,50,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Vi,Vi,3,750,60,0.65,1,45,40,140,70,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Fizz,Fizz,4,700,60,0.85,1,25,20,120,50,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Gnar,Gnar,4,750,50,0.8,2,45,40,120,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Irelia,Irelia,4,900,85,0.85,1,50,40,30,0,0.25,1.5
Set 3.5,3,mid,TFTSet3,10.18,TFT3_Jhin,Jhin,4,600,85,2,6,20,20,4,0,0.25,1.5
