set_label,set_number,set_stage,set_mutator,patch,champion_api_name,champion_name,ability_name,variable_name,star1_3,idx0,idx1,idx2,idx3,idx4,idx5,idx6
Set 1,1,base,Set1,9.21,Karthus,Karthus,Requiem,Damage,350/600/850,100,350,600,850,1100,1350,1600
Set 1,1,base,Set1,9.21,Karthus,Karthus,Requiem,NumberOfTargets,5/7/9,3,5,7,9,11,13,15
Set 1,1,base,Set1,9.21,Kassadin,Kassadin,Nether Blade,ManaSteal,25/50/75,0,25,50,75,100,125,150
Set 1,1,base,Set1,9.21,Kassadin,Kassadin,Nether Blade,ShieldDuration,4,4,4,4,4,4,4,4
Set 1,1,base,Set1,9.21,Katarina,Katarina,Death Lotus,DamagePerTick,45/70/95,20,45,70,95,120,145,170
Set 1,1,base,Set1,9.21,Katarina,Katarina,Death Lotus,Duration,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Set 1,1,base,Set1,9.21,Katarina,Katarina,Death Lotus,GrievousWoundsDuration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Katarina,Katarina,Death Lotus,NumberOfTargets,4/6/8,2,4,6,8,10,12,14
Set 1,1,base,Set1,9.21,Katarina,Katarina,Death Lotus,TicksPerSecond,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Katarina,Katarina,Death Lotus,TotalDamage,750/1125/1500,375,750,1125,1500,1875,2250,2625
Set 1,1,base,Set1,9.21,Kayle,Kayle,Divine Judgement,ShieldDuration,2/2.5/3,1.5,2,2.5,3,3.5,4,4.5
Set 1,1,base,Set1,9.21,Kayle,Kayle,Divine Judgement,Targets,1/2/3,0,1,2,3,4,5,6
Set 1,1,base,Set1,9.21,Kennen,Kennen,Slicing Maelstrom,Damage,225/450/675,0,225,450,675,900,1125,1350
Set 1,1,base,Set1,9.21,Kennen,Kennen,Slicing Maelstrom,Duration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Kennen,Kennen,Slicing Maelstrom,StunDuration,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Kennen,Kennen,Slicing Maelstrom,TickRate,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Set 1,1,base,Set1,9.21,Kha'Zix,Kha'Zix,Taste their Fear,Damage,150/250/350,50,150,250,350,450,550,650
Set 1,1,base,Set1,9.21,Kha'Zix,Kha'Zix,Taste their Fear,IsolationDamage,400/600/800,200,400,600,800,1000,1200,1400
Set 1,1,base,Set1,9.21,Kindred,Kindred,Lamb's Respite,Duration,3/4/5,2,3,4,5,6,7,8
Set 1,1,base,Set1,9.21,Kindred,Kindred,Lamb's Respite,MinHealth,300/600/900,0,300,600,900,1200,1500,1800
Set 1,1,base,Set1,9.21,Leona,Leona,Solar Flare,CCDuration,5/7/9,3,5,7,9,11,13,15
Set 1,1,base,Set1,9.21,Leona,Leona,Solar Flare,Damage,175/250/325,100,175,250,325,400,475,550
Set 1,1,base,Set1,9.21,Leona,Leona,Solar Flare,DelayTime,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,Damage,175/325/475,25,175,325,475,625,775,925
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,EnemyStunDuration,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,MaxHexRange,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,SelfDuration,2,2,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,SelfUltHealthPercent,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,SlowAmount,2,2,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,SlowDuration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Lissandra,Lissandra,Frozen Tomb,SlowFieldDuration,3,0,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Lucian,Lucian,Relentless Pursuit,FirstShotRatio,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Lucian,Lucian,Relentless Pursuit,SecondShotDamage,125/250/375,0,125,250,375,500,625,750
Set 1,1,base,Set1,9.21,Lulu,Lulu,Wild Growth,BonusHealth,300/400/500,200,300,400,500,600,700,800
Set 1,1,base,Set1,9.21,Lulu,Lulu,Wild Growth,BuffDuration,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Lulu,Lulu,Wild Growth,CCDuration,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
Set 1,1,base,Set1,9.21,Lulu,Lulu,Wild Growth,Targets,1/2/3,0,1,2,3,4,5,6
Set 1,1,base,Set1,9.21,Miss Fortune,Miss Fortune,Bullet Time,ChannelDuration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Miss Fortune,Miss Fortune,Bullet Time,HexRange,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Miss Fortune,Miss Fortune,Bullet Time,TotalDamage,1300/2000/2700,600,1300,2000,2700,3400,4100,4800
Set 1,1,base,Set1,9.21,Miss Fortune,Miss Fortune,Bullet Time,Waves,14,14,14,14,14,14,14,14
Set 1,1,base,Set1,9.21,Mordekaiser,Mordekaiser,Obliterate,Damage,250/500/750,0,250,500,750,1000,1250,1500
Set 1,1,base,Set1,9.21,Mordekaiser,Mordekaiser,Obliterate,MaceLength,625,625,625,625,625,625,625,625
Set 1,1,base,Set1,9.21,Mordekaiser,Mordekaiser,Obliterate,MaceStartDistance,400,400,400,400,400,400,400,400
Set 1,1,base,Set1,9.21,Mordekaiser,Mordekaiser,Obliterate,RectangleWidth,160,160,160,160,160,160,160,160
Set 1,1,base,Set1,9.21,Morgana,Morgana,Soul Shackles,CanCastRange,575,575,575,575,575,575,575,575
Set 1,1,base,Set1,9.21,Morgana,Morgana,Soul Shackles,ChainDuration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Morgana,Morgana,Soul Shackles,Damage,175/300/425,50,175,300,425,550,675,800
Set 1,1,base,Set1,9.21,Morgana,Morgana,Soul Shackles,SlowPercent,20,20,20,20,20,20,20,20
Set 1,1,base,Set1,9.21,Morgana,Morgana,Soul Shackles,StunDuration,2/4/6,0,2,4,6,8,10,12
Set 1,1,base,Set1,9.21,Nidalee,Nidalee,Primal Surge,ADInCougar,20/70/120,-30,20,70,120,170,220,270
Set 1,1,base,Set1,9.21,Nidalee,Nidalee,Primal Surge,AnimTime,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Set 1,1,base,Set1,9.21,Nidalee,Nidalee,Primal Surge,HoTDuration,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Nidalee,Nidalee,Primal Surge,HoTTotalHeal,150/375/600,-75,150,375,600,825,1050,1275
Set 1,1,base,Set1,9.21,Nidalee,Nidalee,Primal Surge,TransformDuration,60,60,60,60,60,60,60,60
Set 1,1,base,Set1,9.21,Pantheon,Pantheon,Grand Starfall,BurnDuration,10,10,10,10,10,10,10,10
Set 1,1,base,Set1,9.21,Pantheon,Pantheon,Grand Starfall,BurnPercent,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Set 1,1,base,Set1,9.21,Pantheon,Pantheon,Grand Starfall,PercentHealthDamage,0.1/0.2/0.3,0,0.1,0.2,0.3,0.4,0.5,0.6
Set 1,1,base,Set1,9.21,Pantheon,Pantheon,Grand Starfall,Radius,450,450,450,450,450,450,450,450
Set 1,1,base,Set1,9.21,Pantheon,Pantheon,Grand Starfall,StunDuration,2,2,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Poppy,Poppy,Keeper's Verdict,DamagePart2,300/500/700,100,300,500,700,900,1100,1300
Set 1,1,base,Set1,9.21,Poppy,Poppy,Keeper's Verdict,KnockbackDurationPart2,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Poppy,Poppy,Keeper's Verdict,NumberOfTargets,1/2/3,0,1,2,3,4,5,6
Set 1,1,base,Set1,9.21,Poppy,Poppy,Keeper's Verdict,PoppyAnimLockDuration,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Set 1,1,base,Set1,9.21,Poppy,Poppy,Keeper's Verdict,StunDuration,2/3/4,1,2,3,4,5,6,7
Set 1,1,base,Set1,9.21,Pyke,Pyke,Phantom Undertow,Damage,150/200/250,100,150,200,250,300,350,400
Set 1,1,base,Set1,9.21,Pyke,Pyke,Phantom Undertow,StunDelay,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Pyke,Pyke,Phantom Undertow,StunDuration,1.5/2/2.5,1,1.5,2,2.5,3,3.5,4
Set 1,1,base,Set1,9.21,Rek'Sai,Rek'Sai,Burrow,BurrowDuration,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Rek'Sai,Rek'Sai,Burrow,HealAmount,150/300/450,75,150,300,450,600,750,900
Set 1,1,base,Set1,9.21,Rek'Sai,Rek'Sai,Burrow,HealTickRate,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Set 1,1,base,Set1,9.21,Rek'Sai,Rek'Sai,Burrow,KnockupDamage,200/350/500,50,200,350,500,650,800,950
Set 1,1,base,Set1,9.21,Rek'Sai,Rek'Sai,Burrow,KnockupDuration,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
Set 1,1,base,Set1,9.21,Rengar,Rengar,Savagery,ADMult,2/3/4,1,2,3,4,5,6,7
Set 1,1,base,Set1,9.21,Rengar,Rengar,Savagery,ASBuff,0.3/0.5/0.7,0.1,0.3,0.5,0.7,0.9,1.1,1.3
Set 1,1,base,Set1,9.21,Rengar,Rengar,Savagery,BuffDuration,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Rengar,Rengar,Savagery,CritBuff,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Set 1,1,base,Set1,9.21,Sejuani,Sejuani,Glacial Prison,Damage,100/175/250,25,100,175,250,325,400,475
Set 1,1,base,Set1,9.21,Sejuani,Sejuani,Glacial Prison,ExplosionDelay,2,0,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Sejuani,Sejuani,Glacial Prison,StunDuration,2/3.5/5,0.5,2,3.5,5,6.5,8,9.5
Set 1,1,base,Set1,9.21,Shen,Shen,Spirit's Refuge,ZoneDuration,3/4/5,2,3,4,5,6,7,8
Set 1,1,base,Set1,9.21,Shyvana,Shyvana,Dragon's Descent,ADWhileDragon,100/150/200,50,100,150,200,250,300,350
Set 1,1,base,Set1,9.21,Shyvana,Shyvana,Dragon's Descent,BurnDamage,200/300/400,100,200,300,400,500,600,700
Set 1,1,base,Set1,9.21,Shyvana,Shyvana,Dragon's Descent,BurnDuration,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Shyvana,Shyvana,Dragon's Descent,ExtraAARange,480,480,480,480,480,480,480,480
Set 1,1,base,Set1,9.21,Shyvana,Shyvana,Dragon's Descent,TransformDuration,60,60,60,60,60,60,60,60
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,DamagePerTick,40/80/120,0,40,80,120,160,200,240
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,HealPerTick,30/60/90,0,30,60,90,120,150,180
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,HealthIncrease,,,,,,,,
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,SoulFlareDamage,300/600/900,0,300,600,900,1200,1500,1800
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,TotalDamage,480/960/1440,0,480,960,1440,1920,2400,2880
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,TotalHeal,360/720/1080,0,360,720,1080,1440,1800,2160
Set 1,1,base,Set1,9.21,Swain,Swain,Demonflare,TransformDuration,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Tristana,Tristana,Explosive Charge,ChargeBaseDamage,70/110/150,30,70,110,150,190,230,270
Set 1,1,base,Set1,9.21,Tristana,Tristana,Explosive Charge,ExplosiveChargeDuration,4,4,4,4,4,4,4,4
Set 1,1,base,Set1,9.21,Tristana,Tristana,Explosive Charge,MaxChargeDamage,175/275/375,75,175,275,375,475,575,675
Set 1,1,base,Set1,9.21,Tristana,Tristana,Explosive Charge,PercentDamageIncreasePerStack,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Set 1,1,base,Set1,9.21,Twisted Fate,Twisted Fate,Pick a Card,BlueCardDamage,150/250/350,50,150,250,350,450,550,650
Set 1,1,base,Set1,9.21,Twisted Fate,Twisted Fate,Pick a Card,BlueCardManaRestore,30/50/70,10,30,50,70,90,110,130
Set 1,1,base,Set1,9.21,Twisted Fate,Twisted Fate,Pick a Card,GoldCardDamage,150/250/350,50,150,250,350,450,550,650
Set 1,1,base,Set1,9.21,Twisted Fate,Twisted Fate,Pick a Card,GoldCardStunDuration,2/3/4,1,2,3,4,5,6,7
Set 1,1,base,Set1,9.21,Twisted Fate,Twisted Fate,Pick a Card,RedCardDamage,150/250/350,50,150,250,350,450,550,650
Set 1,1,base,Set1,9.21,Varus,Varus,Piercing Arrow,Damage,300/550/800,50,300,550,800,1050,1300,1550
Set 1,1,base,Set1,9.21,Varus,Varus,Piercing Arrow,HexRange,8,8,8,8,8,8,8,8
Set 1,1,base,Set1,9.21,Vayne,Vayne,Silver Bolts,PercentDamage,0.08/0.12/0.16,0.04,0.08,0.12,0.16,0.2,0.24,0.28
Set 1,1,base,Set1,9.21,Veigar,Veigar,Primordial Burst,Damage,350/650/950,50,350,650,950,1250,1550,1850
Set 1,1,base,Set1,9.21,Veigar,Veigar,Primordial Burst,LowerStarDamage,19999,19999,19999,19999,19999,19999,19999,19999
Set 1,1,base,Set1,9.21,Vi,Vi,Assault and Battery,CCDuration,2/2.5/3,1.5,2,2.5,3,3.5,4,4.5
Set 1,1,base,Set1,9.21,Vi,Vi,Assault and Battery,Damage,300/500/700,100,300,500,700,900,1100,1300
Set 1,1,base,Set1,9.21,Vi,Vi,Assault and Battery,MoveSpeed,1000,1000,1000,1000,1000,1000,1000,1000
Set 1,1,base,Set1,9.21,Vi,Vi,Assault and Battery,OthersCCDuration,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Set 1,1,base,Set1,9.21,Volibear,Volibear,Thunder Claws,BuffDuration,20,20,20,20,20,20,20,20
Set 1,1,base,Set1,9.21,Volibear,Volibear,Thunder Claws,ChainADMult,0.8/0.9/1,0.7,0.8,0.9,1,1.1,1.2,1.3
Set 1,1,base,Set1,9.21,Volibear,Volibear,Thunder Claws,HexRange,1,1,1,1,1,1,1,1
Set 1,1,base,Set1,9.21,Volibear,Volibear,Thunder Claws,MaxBounces,2/3/4,1,2,3,4,5,6,7
Set 1,1,base,Set1,9.21,Volibear,Volibear,Thunder Claws,SizeIncrease,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Set 1,1,base,Set1,9.21,Warwick,Warwick,Infinite Duress,BaseDamage,150/225/300,75,150,225,300,375,450,525
Set 1,1,base,Set1,9.21,Warwick,Warwick,Infinite Duress,DashHexSpeed,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Warwick,Warwick,Infinite Duress,Duration,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Warwick,Warwick,Infinite Duress,Hits,3,3,3,3,3,3,3,3
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,Steel Tempest,Damage,150/350/550,-50,150,350,550,750,950,1150
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,Steel Tempest,QCountForEmpower,2,2,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,Steel Tempest,QEmpowerHexRange,6,6,6,6,6,6,6,6
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,Steel Tempest,QHexRange,2,2,2,2,2,2,2,2
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,Steel Tempest,QKnockupDuration,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Set 1,1,base,Set1,9.21,Yasuo,Yasuo,Steel Tempest,QWidth,75,75,75,75,75,75,75,75
Set 1,1,base,Set1,9.21,Zed,Zed,Razor Shuriken,Damage,200/350/500,50,200,350,500,650,800,950
Set 1,1,base,Set1,9.21,Zed,Zed,Razor Shuriken,HexRange,4,4,4,4,4,4,4,4
Set 2,2,base,Set2,10.5,TFT2_Aatrox,Aatrox,The Arclight Blade,Damage,300/600/1200,0,300,600,1200,1200,1250,1500
Set 2,2,base,Set2,10.5,TFT2_Amumu,Amumu,Curse of the Sad Mummy,RDamage,100/200/1337,0,100,200,1337,800,1000,1200
Set 2,2,base,Set2,10.5,TFT2_Amumu,Amumu,Curse of the Sad Mummy,RDuration,1.5/2/10,1,1.5,2,10,10,10,10
Set 2,2,base,Set2,10.5,TFT2_Amumu,Amumu,Curse of the Sad Mummy,RRange,3,3,3,3,3,3,3,3
Set 2,2,base,Set2,10.5,TFT2_Annie,Annie,Tibbers!,HexRange,1,1,1,1,1,1,1,1
Set 2,2,base,Set2,10.5,TFT2_Annie,Annie,Tibbers!,StunDamage,100/200/300,0,100,200,300,400,500,600
Set 2,2,base,Set2,10.5,TFT2_Annie,Annie,Tibbers!,TibbersDamage,125/350/1500,-50,125,350,1500,750,950,1150
Set 2,2,base,Set2,10.5,TFT2_Annie,Annie,Tibbers!,TibbersHP,1600/2200/3000,1600,1600,2200,3000,3000,3000,3000
Set 2,2,base,Set2,10.5,TFT2_Ashe,Ashe,Ranger's Focus,AttackSpeed,0.5/0.75/1,0.25,0.5,0.75,1,1.25,1.5,1.75
Set 2,2,base,Set2,10.5,TFT2_Ashe,Ashe,Ranger's Focus,Duration,5,5,5,5,5,5,5,5
Set 2,2,base,Set2,10.5,TFT2_Ashe,Ashe,Ranger's Focus,NumArrows,5,5,5,5,5,5,5,5
Set 2,2,base,Set2,10.5,TFT2_Ashe,Ashe,Ranger's Focus,PercentADPerArrow,0.3/0.35/0.75,0.25,0.3,0.35,0.75,0.75,0.75,0.75
Set 2,2,base,Set2,10.5,TFT2_Azir,Azir,Arise!,SoldierDamage,150/275/450,25,150,275,450,525,650,775
Set 2,2,base,Set2,10.5,TFT2_Azir,Azir,Arise!,SoldierDuration,6,6,6,6,6,6,6,6
Set 2,2,base,Set2,10.5,TFT2_Brand,Brand,Pyroclasm,Damage,225/300/600,175,225,300,600,600,600,600
Set 2,2,base,Set2,10.5,TFT2_Brand,Brand,Pyroclasm,MaxBounces,5/7/20,4,5,7,20,20,20,20
Set 2,2,base,Set2,10.5,TFT2_Braum,Braum,Unbreakable,ShieldDR,80/85/90,75,80,85,90,95,100,105
Set 2,2,base,Set2,10.5,TFT2_Braum,Braum,Unbreakable,ShieldDuration,4,4,4,4,4,4,4,4
Set 2,2,base,Set2,10.5,TFT2_Diana,Diana,Flame Cascade,OrbDamage,80/100/120,60,80,100,120,140,160,180
Set 2,2,base,Set2,10.5,TFT2_Diana,Diana,Flame Cascade,Orbs,3/4/6,2,3,4,6,7,7,8
Set 2,2,base,Set2,10.5,TFT2_Diana,Diana,Flame Cascade,ShieldDuration,4,4,4,4,4,4,4,4
