set_label,set_number,set_stage,set_mutator,set_name_ingame,patch,champion_api_name,champion_name,cost,role,traits,ability_name,mana_cost,initial_mana,ability_desc_resolved,ability_desc_raw,variable_count
Set 1,1,base,1,Base,9.21,Tristana,Tristana,1,,Yordle|Gunslinger,Explosive Charge,50,0,"Tristana places a bomb on her current target which will detonate after she Basic Attacks them 3 times or 4 seconds pass without Tristana attacking them.When the bomb detonates, it deals @ModifiedDamage@ magic damage to all nearby enemies, plus @PercentDamageIncrease@ for each Basic Attack, up to a maximum of @ModifiedMaxDamage@.","Tristana places a bomb on her current target which will detonate after she Basic Attacks them 3 times or @ExplosiveChargeDuration@ seconds pass without Tristana attacking them.<br><br>When the bomb detonates, it deals @ModifiedDamage@ magic damage to all nearby enemies, plus @PercentDamageIncrease@ for each Basic Attack, up to a maximum of @ModifiedMaxDamage@.",4
Set 1,1,base,1,Base,9.21,Vayne,Vayne,1,,Noble|Ranger,Silver Bolts,0,0,"Passive: Whenever Vayne Basic Attacks the same target 3 times, she deals @ModifiedDamage@ of her target's Maximum Health as true damage.","Passive: Whenever Vayne Basic Attacks the same target 3 times, she deals @ModifiedDamage@ of her target's Maximum Health as true damage.",1
Set 1,1,base,1,Base,9.21,Warwick,Warwick,1,,Wild|Brawler,Infinite Duress,150,50,"Warwick pounces on the weakest enemy, stunning them for 1.5 seconds and striking them 3 times, dealing @ModifiedDamage@ magic damage. Each strike triggers on-hit effects and heals Warwick for 100% of the damage dealt.","Warwick pounces on the weakest enemy, stunning them for @Duration@ seconds and striking them @Hits@ times, dealing @ModifiedDamage@ magic damage. Each strike triggers on-hit effects and heals Warwick for 100% of the damage dealt.",4
Set 1,1,base,1,Base,9.21,Ahri,Ahri,2,,Wild|Sorcerer,Orb of Deception,75,0,"Ahri fires an orb in a line, dealing @ModifiedDamage@ magic damage to all enemies it passes through.It then returns to her, dealing @ModifiedDamage@ true damage to all enemies it passes through.","Ahri fires an orb in a line, dealing @ModifiedDamage@ magic damage to all enemies it passes through.<br><br>It then returns to her, dealing @ModifiedDamage@ true damage to all enemies it passes through.",2
Set 1,1,base,1,Base,9.21,Blitzcrank,Blitzcrank,2,,Robot|Brawler,Rocket Grab,125,0,"Blitzcrank pulls the furthest enemy to him, dealing @ModifiedDamage@ magic damage and stunning them for 2.5 seconds.His next attack after pulling knocks up for 1 second.Allies within range will prioritize attacking Blitzcrank's target.","Blitzcrank pulls the furthest enemy to him, dealing @ModifiedDamage@ magic damage and stunning them for @StunDuration@ seconds.<br><br>His next attack after pulling knocks up for 1 second.<br><br>Allies within range will prioritize attacking Blitzcrank's target.",2
Set 1,1,base,1,Base,9.21,Braum,Braum,2,,Glacial|Guardian,Unbreakable,75,0,"Braum puts up his shield for 4 seconds, absorbing and stopping all incoming missiles and reducing his damage taken from that direction by 70/80/90%.","Braum puts up his shield for @ShieldDuration@ seconds, absorbing and stopping all incoming missiles and reducing his damage taken from that direction by @ShieldDR@%.",2
Set 1,1,base,1,Base,9.21,Jayce,Jayce,2,,Hextech|Shapeshifter,Transform Mercury Cannon,100,50,"Jayce knocks a nearby enemy away, dealing @ModifiedDamage@ magic damage and stunning them for 2.5/4.25/6 seconds. He then transforms into cannon form and gains max attack speed for his next 3/5/7 Basic Attacks.While in cannon form, Jayce's Attack Range is increased by 3 hexes.","Jayce knocks a nearby enemy away, dealing @ModifiedDamage@ magic damage and stunning them for @CCDuration@ seconds. He then transforms into cannon form and gains max attack speed for his next @AAMax@ Basic Attacks.<br><br>While in cannon form, Jayce's Attack Range is increased by 3 hexes.",7
Set 1,1,base,1,Base,9.21,Lissandra,Lissandra,2,,Glacial|Elementalist,Frozen Tomb,95,0,"Lissandra encases an enemy in ice, stunning them for 1.5 seconds and dealing @ModifiedDamage@ magic damage to all enemies in the surrounding area.If she is below @SelfUltPercentage@ health, Lissandra instead encases herself, becoming untargetable for 2 seconds and dealing @ModifiedDamage@ magic damage to all enemies in the surrounding area.","Lissandra encases an enemy in ice, stunning them for @EnemyStunDuration@ seconds and dealing @ModifiedDamage@ magic damage to all enemies in the surrounding area.<br><br>If she is below @SelfUltPercentage@ health, Lissandra instead encases herself, becoming untargetable for @SelfDuration@ seconds and dealing @ModifiedDamage@ magic damage to all enemies in the surrounding area.",8
Set 1,1,base,1,Base,9.21,Lucian,Lucian,2,,Noble|Gunslinger,Relentless Pursuit,35,0,"Lucian dashes away from his current target, then Basic Attacks them and fires a second shot which deals @ModifiedDamage@ magic damage.","Lucian dashes away from his current target, then Basic Attacks them and fires a second shot which deals @ModifiedDamage@ magic damage.",2
Set 1,1,base,1,Base,9.21,Lulu,Lulu,2,,Yordle|Sorcerer,Wild Growth,150,50,"Lulu makes 1/2/3 allies giant, granting them @ModifiedBonusHealth@ bonus health and knocking up adjacent enemies near them for 1.25 seconds.","Lulu makes @Targets@ allies giant, granting them @ModifiedBonusHealth@ bonus health and knocking up adjacent enemies near them for @CCDuration@ seconds.",4
Set 1,1,base,1,Base,9.21,Pyke,Pyke,2,,Pirate|Assassin,Phantom Undertow,125,50,"Pyke leaves an afterimage at his location, then dashes behind the farthest enemy. After 1 second, his afterimage returns to Pyke, dealing @ModifiedDamage@ magic damage to all enemies it passes through and stunning them for 1.5/2/2.5 seconds.","Pyke leaves an afterimage at his location, then dashes behind the farthest enemy. After @StunDelay@ second, his afterimage returns to Pyke, dealing @ModifiedDamage@ magic damage to all enemies it passes through and stunning them for @StunDuration@ seconds.",3
Set 1,1,base,1,Base,9.21,Rek'Sai,Rek'Sai,2,,Void|Brawler,Burrow,150,50,"Rek'Sai burrows, becoming untargetable for 1 second and healing for @ModifiedHeal@ health.She emerges at her target, dealing @ModifiedDamage@ magic damage and knocking them up for 1.75 seconds.","Rek'Sai burrows, becoming untargetable for @BurrowDuration@ second and healing for @ModifiedHeal@ health.<br><br>She emerges at her target, dealing @ModifiedDamage@ magic damage and knocking them up for @KnockupDuration@ seconds.",5
Set 1,1,base,1,Base,9.21,Shen,Shen,2,,Ninja|Blademaster,Spirit's Refuge,150,100,"Shen creates a zone around himself for 3/4/5 seconds, granting all nearby allies 100% chance to dodge incoming basic attacks.","Shen creates a zone around himself for @ZoneDuration@ seconds, granting all nearby allies 100% chance to dodge incoming basic attacks.",1
Set 1,1,base,1,Base,9.21,Twisted Fate,Twisted Fate,2,,Pirate|Sorcerer,Pick a Card,50,0,"Twisted Fate randomly picks a card, then throws it at his current target, dealing @ModifiedDamage@ magic damage and creating a special effect based on the color of the card.Blue: Restores 30/50/70 mana to all allies adjacent to Twisted Fate.Red: Deals @ModifiedDamage@ to all enemies adjacent to the target.Gold: Stuns the target for 2/3/4 seconds.","Twisted Fate randomly picks a card, then throws it at his current target, dealing @ModifiedDamage@ magic damage and creating a special effect based on the color of the card.<br><br>Blue: Restores @BlueCardManaRestore@ mana to all allies adjacent to Twisted Fate.<br>Red: Deals @ModifiedDamage@ to all enemies adjacent to the target.<br>Gold: Stuns the target for @GoldCardStunDuration@ seconds.",5
Set 1,1,base,1,Base,9.21,Varus,Varus,2,,Demon|Ranger,Piercing Arrow,75,0,"Varus channels for 1.5 seconds, then fires a piercing arrow, dealing @ModifiedDamage@ magic damage to all enemies in its path.","Varus channels for 1.5 seconds, then fires a piercing arrow, dealing @ModifiedDamage@ magic damage to all enemies in its path.",2
Set 1,1,base,1,Base,9.21,Zed,Zed,2,,Ninja|Assassin,Razor Shuriken,75,0,"Zed throws a shuriken in a line, dealing @ModifiedDamage@ magic damage to all enemies in its path.","Zed throws a shuriken in a line, dealing @ModifiedDamage@ magic damage to all enemies in its path.",2
Set 1,1,base,1,Base,9.21,Aatrox,Aatrox,3,,Demon|Blademaster,The Darkin Blade,75,0,"Aatrox cleaves the area in front of him, dealing @ModifiedDamage@ magic damage to all enemies within.","Aatrox cleaves the area in front of him, dealing @ModifiedDamage@ magic damage to all enemies within.",1
Set 1,1,base,1,Base,9.21,Ashe,Ashe,3,,Glacial|Ranger,Enchanted Crystal Arrow,125,0,"Ashe fires an arrow at the farthest enemy. It stops on the first target hit, dealing @ModifiedDamage@ magic damage and stunning them for 1/1.5/2 seconds per Hex traveled.","Ashe fires an arrow at the farthest enemy. It stops on the first target hit, dealing @ModifiedDamage@ magic damage and stunning them for @StunDurationPerSquare@ seconds per Hex traveled.",2
Set 1,1,base,1,Base,9.21,Evelynn,Evelynn,3,,Demon|Assassin,Last Caress,75,0,"Evelynn deals @ModifiedDamage@ magic damage to up to 3 nearby enemies, then teleports away.This damage is increased to @ModifiedCritDamage@ against targets below @ExecuteThreshholdPercent@ health.","Evelynn deals @ModifiedDamage@ magic damage to up to 3 nearby enemies, then teleports away.<br><br>This damage is increased to @ModifiedCritDamage@ against targets below @ExecuteThreshholdPercent@ health.",4
Set 1,1,base,1,Base,9.21,Gangplank,Gangplank,3,,Pirate|Gunslinger|Blademaster,Powder Kegs,100,0,"Passive: Gangplank periodically places barrels near enemies.Active: Gangplank shoots his barrels, causing them all to explode, dealing @ModifiedDamage@ magic damage to nearby enemies and applying on-hit effects.","Passive: Gangplank periodically places barrels near enemies.<br><br>Active: Gangplank shoots his barrels, causing them all to explode, dealing @ModifiedDamage@ magic damage to nearby enemies and applying on-hit effects.",1
Set 1,1,base,1,Base,9.21,Katarina,Katarina,3,,Imperial|Assassin,Death Lotus,85,0,"Katarina channels for 2.5 seconds, throwing knives at 4/6/8 nearby enemies, dealing @ModifiedDamage@ magic damage over the duration and reducing healing by 80% to her targets for 3 seconds.","Katarina channels for @Duration@ seconds, throwing knives at @NumberOfTargets@ nearby enemies, dealing @ModifiedDamage@ magic damage over the duration and reducing healing by 80% to her targets for @GrievousWoundsDuration@ seconds.",6
Set 1,1,base,1,Base,9.21,Kennen,Kennen,3,,Ninja|Yordle|Elementalist,Slicing Maelstrom,150,50,"Kennen summons a storm around himself for 3 seconds, calling down lightning bolts on all enemies in the area every 0.5 second and dealing @ModifiedDamage@ magic damage over the duration. Each enemy struck by 3 lightning bolts is stunned for 1.5 seconds.","Kennen summons a storm around himself for @Duration@ seconds, calling down lightning bolts on all enemies in the area every @TickRate@ second and dealing @ModifiedDamage@ magic damage over the duration. Each enemy struck by 3 lightning bolts is stunned for @StunDuration@ seconds.",4
Set 1,1,base,1,Base,9.21,Morgana,Morgana,3,,Demon|Sorcerer,Soul Shackles,150,50,"Morgana fires chains to all nearby enemies, dealing @ModifiedDamage@ magic damage.After 3 seconds, all chained enemies still within range of Morgana are stunned for 2/4/6 seconds and take @ModifiedDamage@ magic damage again.","Morgana fires chains to all nearby enemies, dealing @ModifiedDamage@ magic damage.<br><br>After @ChainDuration@ seconds, all chained enemies still within range of Morgana are stunned for @StunDuration@ seconds and take @ModifiedDamage@ magic damage again.",5
Set 1,1,base,1,Base,9.21,Poppy,Poppy,3,,Yordle|Knight,Keeper's Verdict,75,0,"Poppy creates a shockwave in a straight line that can hit up to 1/2/3 enemies, dealing @ModifiedDamage@ magic damage, knocking up and stunning them for 2/3/4 seconds.","Poppy creates a shockwave in a straight line that can hit up to @NumberOfTargets@ enemies, dealing @ModifiedDamage@ magic damage, knocking up and stunning them for @StunDuration@ seconds.",5
Set 1,1,base,1,Base,9.21,Rengar,Rengar,3,,Wild|Assassin,Savagery,75,0,"Rengar leaps to and stabs the weakest enemy, dealing @LeapDamage@ physical damage and applying on-hit effects to his target.After this leap, Rengar gains @ASBuffPercent@ Attack Speed and @CritBuffPercent@ Critical Strike Chance for the next 6 seconds.","Rengar leaps to and stabs the weakest enemy, dealing @LeapDamage@ physical damage and applying on-hit effects to his target.<br><br>After this leap, Rengar gains @ASBuffPercent@ Attack Speed and @CritBuffPercent@ Critical Strike Chance for the next @BuffDuration@ seconds.",4
Set 1,1,base,1,Base,9.21,Shyvana,Shyvana,3,,Dragon|Shapeshifter,Dragon's Descent,85,0,"Shyvana dashes away from her current target and transforms into dragon form.While in dragon form, Shyvana's Basic Attack becomes ranged, she gains 100/150/200 Attack Damage, and her Basic Attacks burn her enemies for 3 seconds, dealing @ModifiedDamage@ magic damage.","Shyvana dashes away from her current target and transforms into dragon form.<br><br>While in dragon form, Shyvana's Basic Attack becomes ranged, she gains @ADWhileDragon@ Attack Damage, and her Basic Attacks burn her enemies for @BurnDuration@ seconds, dealing @ModifiedDamage@ magic damage.",5
Set 1,1,base,1,Base,9.21,Veigar,Veigar,3,,Yordle|Sorcerer,Primordial Burst,75,0,"Veigar blasts an enemy with magical energy, dealing @ModifiedDamage@ magic damage. If Veigar is a higher star level than his target, this damage is increased to @ModifiedLowerStarDamage@.","Veigar blasts an enemy with magical energy, dealing @ModifiedDamage@ magic damage. If Veigar is a higher star level than his target, this damage is increased to @ModifiedLowerStarDamage@.",2
Set 1,1,base,1,Base,9.21,Vi,Vi,3,,Hextech|Brawler,Assault and Battery,150,75,"Vi charges at the farthest enemy, knocking aside and dealing @ModifiedDamage@ magic damage to all enemies along the way. When she reaches her target, she deals @ModifiedDamage@ magic damage and knocks them up for 2/2.5/3 seconds.","Vi charges at the farthest enemy, knocking aside and dealing @ModifiedDamage@ magic damage to all enemies along the way. When she reaches her target, she deals @ModifiedDamage@ magic damage and knocks them up for @CCDuration@ seconds.",4
Set 1,1,base,1,Base,9.21,Volibear,Volibear,3,,Glacial|Brawler,Thunder Claws,75,0,"Volibear empowers his attacks for the next 20 seconds, causing them to chain to up to 3 nearby enemies. These chains deal 80% (scaleAD) physical damage and apply on-hit effects.","Volibear empowers his attacks for the next 20 seconds, causing them to chain to up to 3 nearby enemies. These chains deal 80% %i:scaleAD% physical damage and apply on-hit effects.",5
Set 1,1,base,1,Base,9.21,Akali,Akali,4,,Ninja|Assassin,Five Point Strike,25,0,"Akali throws kunai at her target, dealing 150 (scaleAP) magic damage.There is a 25% (scaleCrit) chance that this spell will critically strike for 225 (scaleCritMult) magic damage instead.","Akali throws kunai at her target, dealing 150 %i:scaleAP% magic damage.<br>There is a 25% %i:scaleCrit% chance that this spell will critically strike for 225 %i:scaleCritMult% magic damage instead.",3
Set 1,1,base,1,Base,9.21,Aurelion Sol,Aurelion Sol,4,,Dragon|Sorcerer,Voice of Light,125,0,"Aurelion Sol breathes fire in a line, dealing @ModifiedDamage@ magic damage to all enemies in the area.","Aurelion Sol breathes fire in a line, dealing @ModifiedDamage@ magic damage to all enemies in the area.",2
Set 1,1,base,1,Base,9.21,Brand,Brand,4,,Demon|Elementalist,Pyroclasm,150,50,"Brand launches a bouncing fireball at an enemy. This fireball will bounce to nearby enemies up to 4/6/20 times, dealing @ModifiedDamage@ magic damage each time it hits.","Brand launches a bouncing fireball at an enemy. This fireball will bounce to nearby enemies up to @MaxBounces@ times, dealing @ModifiedDamage@ magic damage each time it hits.",2
Set 1,1,base,1,Base,9.21,Cho'Gath,Cho'Gath,4,,Void|Brawler,Rupture,150,50,"Cho'Gath ruptures a large area, dealing @ModifiedDamage@ magic damage and knocking up all enemies within for 1.5/1.75/2 seconds.","Cho'Gath ruptures a large area, dealing @ModifiedDamage@ magic damage and knocking up all enemies within for @KnockDuration@ seconds.",3
Set 1,1,base,1,Base,9.21,Draven,Draven,4,,Imperial|Blademaster,Spinning Axes,50,0,"Draven starts spinning an axe, granting him 150% (scaleAD) bonus physical damage on-hit on his next attack.It will return to his location after striking the target and if Draven catches it, it will refresh the buff.Draven can spin up to two axes at a time.","Draven starts spinning an axe, granting him 150% %i:scaleAD% bonus physical damage on-hit on his next attack.<br><br>It will return to his location after striking the target and if Draven catches it, it will refresh the buff.<br><br>Draven can spin up to two axes at a time.",3
Set 1,1,base,1,Base,9.21,Gnar,Gnar,4,,Wild|Yordle|Shapeshifter,GNAR!,100,0,"Gnar leaps towards an enemy and transforms into Mega Gnar, throwing nearby enemies, dealing @ModifiedDamage@ magic damage and stunning them for 2 seconds.While in Mega Gnar form, Gnar gains 250/450/650 Health and 50/100/150 Attack Damage.","Gnar leaps towards an enemy and transforms into Mega Gnar, throwing nearby enemies, dealing @ModifiedDamage@ magic damage and stunning them for @RCCDuration@ seconds.<br><br>While in Mega Gnar form, Gnar gains @TransformHealth@ Health and @TransformAD@ Attack Damage.",6
Set 1,1,base,1,Base,9.21,Jinx,Jinx,4,,Hextech|Gunslinger,Get Excited!,0,0,"Passive: Jinx gets excited as she helps take down enemy units.After her first takedown, Jinx gains @PercentAttackSpeed@ bonus Attack Speed.After her second takedown, Jinx swaps to her rocket launcher, causing her Basic Attacks to deal @ModifiedDamage@ bonus magic damage to all enemies in a small area around her target.","Passive: Jinx gets excited as she helps take down enemy units.<br><br>After her first takedown, Jinx gains @PercentAttackSpeed@ bonus Attack Speed.<br><br>After her second takedown, Jinx swaps to her rocket launcher, causing her Basic Attacks to deal @ModifiedDamage@ bonus magic damage to all enemies in a small area around her target.",4
Set 1,1,base,1,Base,9.21,Kindred,Kindred,4,,Phantom|Ranger,Lamb's Respite,150,50,Kindred creates a zone around themselves for 3/4/5 seconds that prevents allies within from dropping below 300/600/900 health or dying.,Kindred creates a zone around themselves for @Duration@ seconds that prevents allies within from dropping below @MinHealth@ health or dying.,2
Set 1,1,base,1,Base,9.21,Leona,Leona,4,,Noble|Guardian,Solar Flare,100,50,"Leona calls down a solar ray in an area, dealing @ModifiedDamage@ magic damage to all enemies within and stunning the enemy in the center for 5/7/9 seconds.","Leona calls down a solar ray in an area, dealing @ModifiedDamage@ magic damage to all enemies within and stunning the enemy in the center for @CCDuration@ seconds.",3
Set 1,1,base,1,Base,9.21,Sejuani,Sejuani,4,,Glacial|Knight,Glacial Prison,150,50,"After a 2 second delay, Sejuani creates a glacial prison on an enemy, dealing @ModifiedDamage@ magic damage to all nearby enemeis and stunning them for 2/3.5/5 seconds.","After a @ExplosionDelay@ second delay, Sejuani creates a glacial prison on an enemy, dealing @ModifiedDamage@ magic damage to all nearby enemeis and stunning them for @StunDuration@ seconds.",3
Set 1,1,base,1,Base,9.21,Anivia,Anivia,5,,Glacial|Elementalist,Glacial Storm,125,50,"Anivia creates a large hailstorm that lasts for 6 seconds, dealing @ModifiedDamage@ magic damage over the duration and slowing the attack speed of all enemies inside of it by 50/70/90%.","Anivia creates a large hailstorm that lasts for @StormDuration@ seconds, dealing @ModifiedDamage@ magic damage over the duration and slowing the attack speed of all enemies inside of it by @AttackSpeedSlow@%.",3
Set 1,1,base,1,Base,9.21,Kai'Sa,Kai'Sa,5,,Void|Ranger|Assassin,Killer Instinct,125,50,"Kai'Sa dashes to the furthest enemy unit, gaining +50/75/100% Attack Speed and a shield that blocks @ModifiedShield@ damage for 3 seconds.","Kai'Sa dashes to the furthest enemy unit, gaining +@ASPercent*100@% Attack Speed and a shield that blocks @ModifiedShield@ damage for @Duration@ seconds.",3
Set 1,1,base,1,Base,9.21,Karthus,Karthus,5,,Phantom|Sorcerer,Requiem,125,40,"Karthus channels for 2.25 seconds, then deals @ModifiedDamage@ magic damage to 5/7/9 random enemies.","Karthus channels for 2.25 seconds, then deals @ModifiedDamage@ magic damage to @NumberOfTargets@ random enemies.",2
Set 1,1,base,1,Base,9.21,Kayle,Kayle,5,,Noble|Knight,Divine Judgement,125,50,"Kayle shields her 1/2/3 weakest allies, making them immune to all damage for 2/2.5/3 seconds.","Kayle shields her @Targets@ weakest allies, making them immune to all damage for @ShieldDuration@ seconds.",2
Set 1,1,base,1,Base,9.21,Miss Fortune,Miss Fortune,5,,Pirate|Gunslinger,Bullet Time,150,0,"Miss Fortune channels and fires waves of bullets in a cone for 3 seconds, dealing @ModifiedDamage@ magic damage to all enemies within over the duration.","Miss Fortune channels and fires waves of bullets in a cone for @ChannelDuration@ seconds, dealing @ModifiedDamage@ magic damage to all enemies within over the duration.",4
Set 1,1,base,1,Base,9.21,Pantheon,Pantheon,5,,Dragon|Guardian,Grand Starfall,200,150,"Pantheon leaps in the air, crashing down towards the farthest enemy, stunning them for 2 seconds.Enemies in Pantheon's path take @ModifiedDamage@ of their Maximum Health as magic damage. They then burn for an additional 20% of their Maximum Health as true damage over 10 seconds, reducing healing by 80%.","Pantheon leaps in the air, crashing down towards the farthest enemy, stunning them for @StunDuration@ seconds.<br><br>Enemies in Pantheon's path take @ModifiedDamage@ of their Maximum Health as magic damage. They then burn for an additional @BurnPercent*100@% of their Maximum Health as true damage over @BurnDuration@ seconds, reducing healing by 80%.",5
Set 1,1,base,1,Base,9.21,Swain,Swain,5,,Imperial|Demon|Shapeshifter,Demonflare,100,0,"Swain transforms into demon form for 6 seconds.While in demon form, Swain drains health from nearby enemies, dealing @ModifiedDamage@ magic damage and healing himself for @ModifiedHeal@ over the duration for each enemy in range. At the end of the transformation, Swain sends out a Soul Flare, dealing @ModifiedSoulFlareDamage@ magic damage to all nearby enemies.","Swain transforms into demon form for @TransformDuration@ seconds.<br><br>While in demon form, Swain drains health from nearby enemies, dealing @ModifiedDamage@ magic damage and healing himself for @ModifiedHeal@ over the duration for each enemy in range. At the end of the transformation, Swain sends out a Soul Flare, dealing @ModifiedSoulFlareDamage@ magic damage to all nearby enemies.",7
Set 1,1,base,1,Base,9.21,Yasuo,Yasuo,5,,Exile|Blademaster,Steel Tempest,25,0,"Yasuo stabs his sword into the two spaces in front of him, dealing @ModifiedDamage@ magic damage and applying on-hit effects to enemies within. Every third cast, Yasuo instead throws a tornado in a line that travels 6 hexes and additionally knocks enemies up for 1.5 seconds.","Yasuo stabs his sword into the two spaces in front of him, dealing @ModifiedDamage@ magic damage and applying on-hit effects to enemies within. Every third cast, Yasuo instead throws a tornado in a line that travels @QEmpowerHexRange@ hexes and additionally knocks enemies up for @QKnockupDuration@ seconds.",6
Set 2,2,base,2,War of the Elements,10.5,TFT2_Diana,Diana,1,,Inferno|Assassin,Flame Cascade,100,0,"Diana creates 3/4/6 flame orbs which rotate around her and explode for @ModifiedDamage@ magic damage when they collide with an enemy. She also shields herself for 4 seconds, absorbing the next @ModifiedShield@ damage she would take.","Diana creates @Orbs@ flame orbs which rotate around her and explode for @ModifiedDamage@ magic damage when they collide with an enemy. She also shields herself for @ShieldDuration@ seconds, absorbing the next @ModifiedShield@ damage she would take.",4
Set 2,2,base,2,War of the Elements,10.5,TFT2_Ivern,Ivern,1,,Woodland|Druid,Triggerseed,100,50,"Ivern shields the lowest-health ally for 5 seconds, absorbing the next @ModifiedShield@ damage.","Ivern shields the lowest-health ally for @Duration@ seconds, absorbing the next @ModifiedShield@ damage.",2
Set 2,2,base,2,War of the Elements,10.5,TFT2_KogMaw,Kog'Maw,1,,Poison|Predator,Living Artillery,40,0,"Kog'Maw launches an acidic blob at a random enemy, dealing @ModifiedDamage@ magic damage.","Kog'Maw launches an acidic blob at a random enemy, dealing @ModifiedDamage@ magic damage.",2
Set 2,2,base,2,War of the Elements,10.5,TFT2_Leona,Leona,1,,Lunar|Warden,Lunar Barrier,100,50,Leona reduces all damage by 40/80/120 for 4 seconds.,Leona reduces all damage by @FlatDamageReduction@ for @Duration@ seconds.,2
Set 2,2,base,2,War of the Elements,10.5,TFT2_Maokai,Maokai,1,,Woodland|Druid,Sap Magic,0,0,"Passive: After being damaged by an enemy spell, Maokai's next attack heals him for @ModifiedHeal@.","Passive: After being damaged by an enemy spell, Maokai's next attack heals him for @ModifiedHeal@.",2
Set 2,2,base,2,War of the Elements,10.5,TFT2_Nasus,Nasus,1,,Light|Warden,Fury of the Dawn,100,0,"Nasus surrounds himself in light for 7 seconds, gaining @ModifiedBonusHealth@ maximum health and dealing @ModifiedDamage@ magic damage to adjacent enemies every second.","Nasus surrounds himself in light for @Duration@ seconds, gaining @ModifiedBonusHealth@ maximum health and dealing @ModifiedDamage@ magic damage to adjacent enemies every second.",3
