faction,collection,entry,type,role,usable,missing,variants,anim_own,anim_projectile,anim_effect,total_frames,blank_frames,dead_anims,canvas,sprite_px,size_tier,anims_own
심연군단,MiniFolksPlusAbyssArmy,MiniAbyssSwordsman,캐릭터,근접,완전,,outline+no_outline,8,0,0,53,0,,32x32,13x14,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
야수,MiniFolksPlusAnimals,MiniCheetah,캐릭터,근접,완전,,outline+no_outline,7,0,0,38,0,,40x32,25x14,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
야수,MiniFolksPlusAnimals,MiniEagle,캐릭터,근접,완전,,outline+no_outline,5,0,0,29,0,,32x32,19x14,중형,Attack|Death|Hit|Idle|Walk
야수,MiniFolksPlusAnimals,MiniElephant,캐릭터,근접,완전,,outline+no_outline,7,0,0,44,0,,40x32,28x21,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
야수,MiniFolksPlusAnimals,MiniHippo,캐릭터,근접,완전,,outline+no_outline,6,0,0,29,0,,40x32,22x15,중형,Attack|Death|Hit|Idle|Jump|Walk
야수,MiniFolksPlusAnimals,MiniLion,캐릭터,근접,완전,,outline+no_outline,8,0,0,46,0,,40x32,24x15,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Roar|Walk
야수,MiniFolksPlusAnimals,MiniLioness,캐릭터,근접,완전,,outline+no_outline,8,0,0,46,0,,40x32,21x14,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Roar|Walk
야수,MiniFolksPlusAnimals,MiniPanda,캐릭터,근접,완전,,outline+no_outline,8,0,0,67,0,,32x32,20x13,중형,Attack|Death|Hit|Idle|Jump|Spell|Tag|Walk
야수,MiniFolksPlusAnimals,MiniPanther,캐릭터,근접,완전,,outline+no_outline,7,0,0,38,0,,40x32,25x14,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
야수,MiniFolksPlusAnimals,MiniRhino,캐릭터,근접,완전,,outline+no_outline,7,0,0,36,0,,32x32,24x15,대형,Attack|Death|Hit|Idle|Idle_2|Jump|Walk
야수,MiniFolksPlusAnimals,MiniTurtle,캐릭터,근접,완전,,outline+no_outline,6,0,0,33,0,,32x32,20x10,중형,Attack|Death|Hit|Idle|Spell|Walk
놀,MiniGnolls,MiniGnollArcher,캐릭터,원거리,완전,,outline+no_outline,7,1,0,44,0,,32x32,18x17,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
놀,MiniGnolls,MiniGnollAssassin,캐릭터,암살,완전,,outline+no_outline,8,0,0,44,0,,32x32,15x17,소형,Attack|Attack_2|Attack_3|Death|Hit|Idle|Jump|Walk
놀,MiniGnolls,MiniGnollBerserk,캐릭터,근접,완전,,outline+no_outline,8,0,0,46,0,,32x32,20x17,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
놀,MiniGnolls,MiniGnollGuardian,캐릭터,근접,완전,,outline+no_outline,8,0,0,43,0,,32x32,15x18,소형,Attack|Attack_2|Block|Death|Hit|Idle|Jump|Walk
놀,MiniGnolls,MiniGnollLeader,캐릭터,리더,완전,,outline+no_outline,9,0,0,57,0,,64x32,19x18,중형,Attack|Attack_2|Attack_3|Death|Hit|Idle|Jump|Spell|Walk
놀,MiniGnolls,MiniGnollLeader32x32,캐릭터,리더,완전,,outline+no_outline,8,0,0,39,0,,32x32,19x18,중형,Attack|Attack_2|Attack_3|Death|Hit|Idle|Jump|Walk
놀,MiniGnolls,MiniGnollShaman,캐릭터,마법,완전,,outline+no_outline,8,0,0,54,0,,32x32,15x18,소형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
놀,MiniGnolls,MiniGnollWarrior,캐릭터,근접,완전,,outline+no_outline,7,0,0,42,0,,32x32,17x17,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
놀,MiniGnolls,MiniHyena,캐릭터,근접,완전,,outline+no_outline,6,0,0,28,0,,32x32,16x12,중형,Attack|Death|Hit|Idle|Jump|Walk
할로윈,MiniHalloweenMonsters,MiniBat,캐릭터,근접,완전,,outline+no_outline,6,0,0,40,0,,32x32,18x14,중형,Attack|Death|Hit|Idle|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniEvilPumpkin,캐릭터,근접,완전,,outline+no_outline,6,0,0,40,0,,40x32,14x16,소형,Attack|Death|Hit|Idle|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniFrankenstein,캐릭터,근접,완전,,outline+no_outline,7,0,0,44,0,,32x32,12x14,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniGhost,캐릭터,특수,완전,,outline+no_outline,5,0,0,31,1,,32x32,17x15,중형,Attack|Death|Hit|Idle|Walk
할로윈,MiniHalloweenMonsters,MiniHeadlessHorseman,캐릭터,근접,완전,,outline+no_outline,7,0,0,52,0,,32x32,20x24,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniHuman,캐릭터,근접,완전,,outline+no_outline,7,0,0,52,0,,32x32,12x14,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniScarecrow,캐릭터,근접,완전,,outline+no_outline,7,0,1,53,1,,64x32,23x23,대형,Attack|Death|Hit|Idle|Jump|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniVampire,캐릭터,근접,완전,,outline+no_outline,8,1,1,75,1,,32x32,13x14,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
할로윈,MiniHalloweenMonsters,MiniWerewolf,캐릭터,근접,완전,,outline+no_outline,8,0,0,54,0,,32x32,19x18,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
할로윈,MiniHalloweenMonsters,MiniWitch,캐릭터,마법,완전,,outline+no_outline,6,1,1,51,1,,32x32,18x19,중형,Attack|Death|Hit|Idle|Spell|Walk
몬스터,MiniMonsters,MiniGargoyle,캐릭터,특수,완전,,outline+no_outline,6,0,0,35,0,,32x32,19x20,중형,Attack|Death|Hit|Idle|Jump|Walk
몬스터,MiniMonsters,MiniGhoul,캐릭터,근접,완전,,outline+no_outline,7,0,0,34,0,,32x32,16x12,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
몬스터,MiniMonsters,MiniGreenDragon,캐릭터,특수,완전,,outline+no_outline,8,1,0,66,0,,64x32,43x30,초대형,Attack|Death|Hit|Idle|Jump|Run|Spell|Walk
몬스터,MiniMonsters,MiniMinotaur,캐릭터,근접,완전,,outline+no_outline,7,0,0,41,0,,32x32,21x18,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
몬스터,MiniMonsters,MiniMonster,캐릭터,근접,완전,,outline+no_outline,6,0,0,29,0,,32x32,22x20,중형,Attack|Death|Hit|Idle|Jump|Walk
몬스터,MiniMonsters,MiniRedDragon,캐릭터,특수,완전,,outline+no_outline,8,1,0,66,0,,64x32,47x30,초대형,Attack|Death|Hit|Idle|Jump|Run|Spell|Walk
몬스터,MiniMonsters,MiniUnicorn,캐릭터,특수,완전,,outline+no_outline,7,0,0,40,0,,32x32,20x18,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
몬스터,MiniMonsters,MiniWendigo,캐릭터,근접,완전,,outline+no_outline,7,0,0,42,0,,32x32,21x22,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
불의교단,MiniOrderOfTheFire,MiniBattleFireMage,캐릭터,마법,완전,,outline+no_outline,8,1,0,72,2,,32x32,12x14,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
불의교단,MiniOrderOfTheFire,MiniFireElemental,캐릭터,특수,완전,,outline+no_outline,5,0,0,35,1,,32x32,16x18,중형,Attack|Death|Hit|Idle|Walk
불의교단,MiniOrderOfTheFire,MiniFireEnchantress,캐릭터,마법,부분,Idle,outline+no_outline,8,0,0,70,0,,32x32,20x16,중형,Attack|Death|Hit|Idle_2|Jump|Spell|Spell_2|Walk
불의교단,MiniOrderOfTheFire,MiniFireMage,캐릭터,마법,완전,,outline+no_outline,8,1,0,64,1,,32x32,14x15,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
불의교단,MiniOrderOfTheFire,MiniFirePriestess,캐릭터,지원,완전,,outline+no_outline,8,0,0,59,0,,32x32,13x17,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
불의교단,MiniOrderOfTheFire,MiniFirePrince,캐릭터,리더,완전,,outline+no_outline,8,0,0,56,0,,40x32,17x15,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
불의교단,MiniOrderOfTheFire,MiniFirePrincess,캐릭터,리더,완전,,outline+no_outline,9,1,0,81,1,,32x32,15x15,소형,Attack|Block|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
불의교단,MiniOrderOfTheFire,MiniFireWarrior,캐릭터,근접,완전,,outline+no_outline,8,0,0,53,0,,32x32,20x16,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
불의교단,MiniOrderOfTheFire,MiniGreaterFireElemental,캐릭터,특수,부분,Attack,outline+no_outline,6,0,0,46,1,,42x32,20x23,중형,Attack_2|Death|Hit|Idle|Spell|Walk
불의교단,MiniOrderOfTheFire,MiniLiveFire,캐릭터,특수,완전,,outline+no_outline,5,0,0,33,1,,32x32,12x15,소형,Attack|Death|Hit|Idle|Walk
별방랑자,MiniStarWanderers,MiniSWAssassin,캐릭터,암살,완전,,outline+no_outline,7,1,1,54,1,,32x32,16x17,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
별방랑자,MiniStarWanderers,MiniSWGuardian,캐릭터,근접,완전,,outline+no_outline,7,1,0,55,1,,32x32,18x16,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
별방랑자,MiniStarWanderers,MiniSWHunter,캐릭터,원거리,완전,,outline+no_outline,7,2,1,67,1,,32x32,15x16,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
별방랑자,MiniStarWanderers,MiniSWKnight,캐릭터,근접,완전,,outline+no_outline,7,0,0,41,0,,32x32,20x17,중형,Attack|Block|Death|Hit|Idle|Jump|Walk
별방랑자,MiniStarWanderers,MiniSWPaladin,캐릭터,근접,완전,,outline+no_outline,8,1,1,65,1,,32x32,18x16,중형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
별방랑자,MiniStarWanderers,MiniSWPriestess,캐릭터,지원,완전,,outline+no_outline,7,1,1,52,1,,32x32,15x17,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
별방랑자,MiniStarWanderers,MiniSWRider,캐릭터,근접,완전,,outline+no_outline,6,0,0,34,0,,32x32,21x22,중형,Attack|Death|Hit|Idle|Jump|Walk
별방랑자,MiniStarWanderers,MiniSWSpearman,캐릭터,근접,완전,,outline+no_outline,7,0,0,42,0,,32x32,15x19,소형,Attack|Block|Death|Hit|Idle|Jump|Walk
별방랑자,MiniStarWanderers,MiniSWWarrior,캐릭터,근접,완전,,outline+no_outline,8,0,0,51,0,,32x32,21x17,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Spell|Walk
별방랑자,MiniStarWanderers,MiniSWWizard,캐릭터,마법,완전,,outline+no_outline,7,0,0,47,0,,32x32,16x16,중형,Attack|Death|Hit|Idle|Jump|Spell|Walk
악마,MinifolksDemons,MiniClawedDemon,캐릭터,근접,완전,,outline+no_outline,7,0,0,30,0,,32x32,17x17,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
악마,MinifolksDemons,MiniDemonFireKeeper,캐릭터,근접,완전,,outline+no_outline,8,0,0,47,0,,32x32,16x17,중형,Attack|AttackMelee|Death|Hit|Idle|Jump|Spell|Walk
악마,MinifolksDemons,MiniDemonFireThrower,캐릭터,근접,완전,,outline+no_outline,7,0,0,36,0,,32x32,14x14,소형,Attack|AttackMelee|Death|Hit|Idle|Jump|Walk
악마,MinifolksDemons,MiniDemonLord,캐릭터,리더,완전,,outline+no_outline,8,0,0,49,0,,40x40,26x22,대형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
악마,MinifolksDemons,MiniDemonTormentor,캐릭터,근접,완전,,outline+no_outline,8,0,0,41,0,,32x32,25x19,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Mockery|Walk
악마,MinifolksDemons,MiniDemoness,캐릭터,근접,완전,,outline+no_outline,8,0,0,46,0,,32x32,16x18,중형,Attack|Death|Hit|Idle|Jump|Seduction|Spell|Walk
악마,MinifolksDemons,MiniFireBall,투사체,-,n/a,,outline+no_outline,0,1,1,8,0,,16x16,5x5,소형,
악마,MinifolksDemons,MiniFireImp,캐릭터,근접,완전,,outline+no_outline,6,0,0,31,0,,32x32,13x16,소형,Attack|AttackThrow|Death|Hit|Idle|Walk
악마,MinifolksDemons,MiniHighDemon,캐릭터,근접,완전,,outline+no_outline,6,0,0,30,0,,40x40,24x21,대형,Attack|Death|Hit|Idle|Jump|Walk
악마,MinifolksDemons,MiniImp,캐릭터,근접,완전,,outline+no_outline,5,0,0,22,0,,32x32,13x16,소형,Attack|Death|Hit|Idle|Walk
악마,MinifolksDemons,MiniSuccubus,캐릭터,기타,완전,,outline+no_outline,7,0,0,37,0,,32x32,10x16,소형,Attack|Death|Hit|Idle|Jump|Seduction|Walk
악마,MinifolksDemons,MiniTrident,투사체,-,n/a,,outline+no_outline,0,1,0,1,0,,24x24,17x7,중형,
인간,MinifolksHumans,MiniArchMage,캐릭터,마법,완전,,outline+no_outline,9,0,0,63,0,,32x32,15x15,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Spell_3|Walk
인간,MinifolksHumans,MiniArcherMan,캐릭터,원거리,완전,,outline+no_outline,7,0,0,37,0,,32x32,14x15,소형,Attack|AttackMelee|Death|Hit|Idle|Jump|Walk
인간,MinifolksHumans,MiniCavalierMan,캐릭터,근접,완전,,outline+no_outline,7,0,0,38,0,,32x32,17x25,중형,Attack|Death|Hit|Idle|Jump|Run|Walk
인간,MinifolksHumans,MiniCrossBowMan,캐릭터,원거리,완전,,outline+no_outline,7,0,0,34,0,,32x32,13x13,소형,Attack|AttackMelee|Death|Hit|Idle|Jump|Walk
인간,MinifolksHumans,MiniHalberdMan,캐릭터,근접,완전,,outline+no_outline,6,0,0,27,0,,32x32,13x16,소형,Attack|Death|Hit|Idle|Jump|Walk
인간,MinifolksHumans,MiniHorseMan,캐릭터,근접,완전,,outline+no_outline,7,0,0,38,0,,32x32,17x25,중형,Attack|Death|Hit|Idle|Jump|Run|Walk
인간,MinifolksHumans,MiniKingMan,캐릭터,리더,완전,,outline+no_outline,7,0,0,39,0,,32x32,13x13,소형,Attack|Death|Hit|Idle|Jump|Walk|Warcry
인간,MinifolksHumans,MiniMage,캐릭터,마법,완전,,outline+no_outline,8,0,0,53,0,,32x32,14x15,소형,Attack|Death|Hit|Idle|Jump|Spell|Spell_2|Walk
인간,MinifolksHumans,MiniPrinceMan,캐릭터,리더,완전,,outline+no_outline,6,0,0,30,0,,32x32,12x15,소형,Attack|Death|Hit|Idle|Jump|Walk
인간,MinifolksHumans,MiniShieldMan,캐릭터,근접,완전,,outline+no_outline,7,0,0,32,0,,32x32,14x15,소형,Attack|Block|Death|Hit|Idle|Jump|Walk
인간,MinifolksHumans,MiniSpearMan,캐릭터,근접,완전,,outline+no_outline,6,0,0,28,0,,32x32,12x14,소형,Attack|Death|Hit|Idle|Jump|Walk
인간,MinifolksHumans,MiniSwordMan,캐릭터,근접,완전,,outline+no_outline,6,0,0,26,0,,32x32,13x15,소형,Attack|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniGoblin,캐릭터,근접,완전,,outline+no_outline,6,0,0,23,0,,32x32,14x11,소형,Attack|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniGoblinThief,캐릭터,암살,완전,,outline+no_outline,7,0,0,27,0,,32x32,14x11,소형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniOrc,캐릭터,근접,완전,,outline+no_outline,6,0,0,26,0,,32x32,19x15,중형,Attack|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniOrcAxeThrower,캐릭터,근접,완전,,outline+no_outline,7,0,0,31,0,,32x32,18x16,중형,Attack|Death|Hit|Idle|Jump|Throw|Walk
오크,MinifolksOrcs,MiniOrcBerserker,캐릭터,근접,완전,,outline+no_outline,9,0,0,42,0,,32x32,24x17,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Rage|Throw|Walk
오크,MinifolksOrcs,MiniOrcVeteran,캐릭터,근접,완전,,outline+no_outline,6,0,0,26,0,,32x32,23x18,대형,Attack|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniOrcWarChief,캐릭터,리더,완전,,outline+no_outline,8,0,0,36,0,,32x32,23x17,대형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk|Warcry
오크,MinifolksOrcs,MiniOrcWarrior,캐릭터,근접,완전,,outline+no_outline,7,0,0,31,0,,32x32,20x16,중형,Attack|Block|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniThrowingAxe,투사체,-,n/a,,outline+no_outline,0,1,0,4,0,,16x16,7x7,소형,
오크,MinifolksOrcs,MiniWargRider,캐릭터,근접,완전,,outline+no_outline,6,0,0,27,0,,32x32,22x20,중형,Attack|Death|Hit|Idle|Jump|Walk
오크,MinifolksOrcs,MiniWolfRider,캐릭터,근접,완전,,outline+no_outline,6,0,0,26,0,,32x32,17x21,중형,Attack|Death|Hit|Idle|Jump|Walk
언데드,MinifolksUndead,MiniDeathKnight,캐릭터,근접,완전,,outline+no_outline,7,0,0,32,0,,32x32,14x18,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
언데드,MinifolksUndead,MiniDreadKnight,캐릭터,근접,완전,,outline+no_outline,7,0,0,33,0,,32x32,15x19,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
언데드,MinifolksUndead,MiniGhost,캐릭터,특수,완전,,outline+no_outline,5,0,0,25,0,,32x32,11x18,소형,Attack|Death|Hit|Idle|Walk
언데드,MinifolksUndead,MiniLich,캐릭터,마법,완전,,outline+no_outline,7,0,0,41,0,,32x32,16x16,중형,Attack|Death|Hit|Idle|Spell|Spell_2|Walk
언데드,MinifolksUndead,MiniNecromancer,캐릭터,마법,완전,,outline+no_outline,7,0,0,35,0,,32x32,13x16,소형,Attack|Death|Hit|Idle|Jump|Spell|Walk
언데드,MinifolksUndead,MiniReaper,캐릭터,근접,완전,,outline+no_outline,5,0,0,26,0,,32x32,16x19,중형,Attack|Death|Hit|Idle|Walk
언데드,MinifolksUndead,MiniSkeleton,캐릭터,근접,완전,,outline+no_outline,6,0,0,28,0,,32x32,13x15,소형,Attack|Death|Hit|Idle|Jump|Walk
언데드,MinifolksUndead,MiniSkeletonArcher,캐릭터,원거리,완전,,outline+no_outline,7,0,0,37,0,,32x32,14x13,소형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk
언데드,MinifolksUndead,MiniZombie,캐릭터,근접,완전,,outline+no_outline,9,0,0,45,0,,32x32,14x12,소형,Attack|Attack_2|Death|GetUp|Hit|Idle|Jump|Rising|Walk
언데드,MinifolksUndead,MiniZombieButcher,캐릭터,근접,완전,,outline+no_outline,8,0,0,43,0,,32x32,19x13,중형,Attack|Death|GetUp|Hit|Idle|Jump|Rising|Walk
바이킹,MinifolksVikings,MiniVikingArcher,캐릭터,원거리,완전,,outline+no_outline,7,0,0,39,0,,32x32,14x14,소형,Attack|AttackMelee|Death|Hit|Idle|Jump|Walk
바이킹,MinifolksVikings,MiniVikingAxe,투사체,-,n/a,,outline+no_outline,0,1,0,4,0,,16x16,8x7,소형,
바이킹,MinifolksVikings,MiniVikingBerserker,캐릭터,근접,완전,,outline+no_outline,8,0,0,37,0,,32x32,16x16,중형,Attack|Death|Hit|Idle|Jump|Rage|Throw|Walk
바이킹,MinifolksVikings,MiniVikingHorseman,캐릭터,근접,완전,,outline+no_outline,6,0,0,28,0,,32x32,17x23,중형,Attack|Death|Hit|Idle|Jump|Walk
바이킹,MinifolksVikings,MiniVikingJarl,캐릭터,리더,완전,,outline+no_outline,8,0,0,40,0,,32x32,18x17,중형,Attack|Attack_2|Death|Hit|Idle|Jump|Walk|Warcry
바이킹,MinifolksVikings,MiniVikingSpearman,캐릭터,근접,완전,,outline+no_outline,6,0,0,27,0,,32x32,12x17,소형,Attack|Death|Hit|Idle|Jump|Walk
바이킹,MinifolksVikings,MiniVikingSwordman,캐릭터,근접,완전,,outline+no_outline,7,0,0,29,0,,32x32,14x15,소형,Attack|Block|Death|Hit|Idle|Jump|Walk
